id,map,result,playtime,roundsPlayed,roundsWon,roundsLost,roundsDisconnected,placement,score,kills,deaths,assists,damage,damageReceived,headshots,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,dealtLegshots,econRating,suicides,revived,firstBloods,firstDeaths,lastDeaths,survived,traded,kasted,kAST,flawless,thrifty,antiEco,totalThrifty,totalAntiEco,manAdvantage,manDisadvantage,aces,teamAces,clutches,clutchesLost,plants,defuses,kdRatio,scorePerRound,damagePerRound,headshotsPercentage,damageDelta,damageDeltaPerRound,rank,trnPerformanceScore,player
7fc8bdbb-8b45-4abb-93a3-a949a6f25143,/Game/Maps/Canyon/Canyon,defeat,2032,20,7,13,0,1,7386,25,18,5,4771,3485,17,10.0,2.0,34.0,3.0,20,56,2,103,1,0,6,3,2,5,4,,80.0,1,1,,,,,,0,0,1.0,2.0,1,0,1.3888888888888888,369.3,238.55,25.64102564102564,1286,64.3,,809,沖縄に行くために%231tab
c167db84-1d97-4a56-9a31-1db02907b0b1,/Game/Maps/Pitt/Pitt,defeat,2486,22,9,13,0,1,7611,25,17,5,4938,3296,18,11.0,7.0,25.0,3.0,18,48,1,93,0,0,2,2,4,5,3,,86.0,1,1,,,,,,0,0,,4.0,0,1,1.4705882352941178,345.95454545454544,224.45454545454547,26.865671641791046,1642,74.63636363636364,,880,沖縄に行くために%231tab
d9200d5e-45d4-4635-a14c-73050e0bfec3,/Game/Maps/Bonsai/Bonsai,victory,1970,21,13,8,0,3,4845,16,16,8,3525,3117,10,6.0,13.0,20.0,3.0,11,51,3,62,0,0,4,2,1,5,5,,76.0,1,0,,,,,,0,2,1.0,1.0,0,1,1.0,230.71428571428572,167.85714285714286,16.923076923076923,408,19.428571428571427,,727,沖縄に行くために%231tab
1d2d9673-3521-4561-ba2d-d7216dcb1baa,/Game/Maps/Bonsai/Bonsai,tied,2845,30,15,15,0,1,9837,32,27,6,6350,5260,20,13.0,8.0,66.0,2.0,23,80,3,62,0,0,3,0,6,5,6,,67.0,0,0,,,,,,0,0,1.0,6.0,0,1,1.1851851851851851,327.9,211.66666666666666,21.69811320754717,1090,36.333333333333336,,716,沖縄に行くために%231tab
8726bd32-a70d-480c-8af9-d0212e3fb9d9,/Game/Maps/Port/Port,defeat,1705,20,7,13,0,4,4351,14,15,4,2969,2739,7,8.0,4.0,8.0,1.0,7,48,1,60,0,0,1,5,0,5,4,,65.0,0,0,,,,,,0,0,,,0,0,0.9333333333333333,217.55,148.45,12.5,230,11.5,,473,沖縄に行くために%231tab
1d5d0e98-7ee6-4d47-b323-f4a86b47f087,/Game/Maps/Jam/Jam,victory,1467,16,13,3,0,3,4001,16,5,1,2792,922,10,12.0,4.0,13.0,1.0,10,28,2,68,0,0,2,2,1,11,0,,75.0,1,0,,,,,,0,0,2.0,1.0,0,2,3.2,250.0625,174.5,25.0,1870,116.875,,815,沖縄に行くために%231tab
59bcd77d-ffea-49ab-b2a3-9f7da9f03a3b,/Game/Maps/Triad/Triad,victory,1868,19,13,6,0,8,3494,13,12,2,2315,2061,11,25.0,9.0,16.0,2.0,11,20,0,68,0,0,3,2,1,7,0,,53.0,1,0,,,,,,0,0,,1.0,0,0,1.0833333333333333,183.89473684210526,121.84210526315789,35.483870967741936,254,13.368421052631579,,460,沖縄に行くために%231tab
ee4fc2bb-c27d-4c8b-b6a3-b8a4e63fe202,/Game/Maps/Jam/Jam,victory,1475,17,13,4,0,1,5002,20,7,1,3111,1790,10,13.0,8.0,24.0,1.0,10,41,2,77,0,0,2,1,2,10,0,,71.0,0,0,,,,,,0,0,,2.0,0,0,2.857142857142857,294.2352941176471,183.0,18.867924528301888,1321,77.70588235294117,,813,沖縄に行くために%231tab
c883b0c8-2138-4043-a7b9-aad5289caa27,/Game/Maps/Canyon/Canyon,victory,2023,21,13,8,0,5,4129,16,11,3,2765,2145,13,15.0,8.0,23.0,2.0,14,21,1,64,0,0,1,0,2,10,3,,71.0,2,0,,,,,,1,0,1.0,,5,1,1.4545454545454546,196.61904761904762,131.66666666666666,38.88888888888889,620,29.523809523809526,,633,沖縄に行くために%231tab
f8696169-0c9e-4ae0-b386-11e2fb5986ab,/Game/Maps/Canyon/Canyon,victory,2377,26,14,12,0,2,7990,26,14,8,5322,2377,18,13.0,12.0,34.0,4.0,19,60,6,73,0,0,1,2,1,12,2,,85.0,0,0,,,,,,0,0,1.0,1.0,1,2,1.8571428571428572,307.3076923076923,204.69230769230768,22.35294117647059,2945,113.26923076923077,,923,沖縄に行くために%231tab
