Source,Target,Type,Weight
1646,6441,Undirected,160
1646,689,Undirected,26
1646,4960,Undirected,26
1646,1141,Undirected,22
1646,51,Undirected,21
1646,3853,Undirected,16
1646,5638,Undirected,16
1646,6409,Undirected,13
1646,330,Undirected,12
1646,3758,Undirected,11
1646,67,Undirected,10
1646,849,Undirected,10
1646,606,Undirected,10
1646,295,Undirected,7
1646,280,Undirected,6
1646,4069,Undirected,6
1646,3449,Undirected,6
1646,446,Undirected,6
1646,1555,Undirected,6
1646,664,Undirected,6
6441,1646,Undirected,160
6441,6460,Undirected,14
6441,4960,Undirected,13
6441,3734,Undirected,4
6441,5340,Undirected,4
6441,4255,Undirected,4
6441,3182,Undirected,4
6441,1781,Undirected,3
6441,1574,Undirected,3
6441,3056,Undirected,3
6441,136,Undirected,3
6441,1769,Undirected,3
6441,4099,Undirected,3
6441,5419,Undirected,3
6441,3386,Undirected,3
6441,1618,Undirected,3
6441,177,Undirected,3
6441,6090,Undirected,3
6441,1234,Undirected,3
6441,5933,Undirected,3
689,4099,Undirected,37
689,1646,Undirected,26
689,4710,Undirected,22
689,1097,Undirected,20
689,1688,Undirected,9
689,912,Undirected,9
689,3279,Undirected,8
689,1613,Undirected,7
689,2911,Undirected,7
689,1310,Undirected,7
689,1563,Undirected,6
689,5638,Undirected,6
689,5747,Undirected,5
689,4773,Undirected,5
689,234,Undirected,5
689,1141,Undirected,5
689,6340,Undirected,5
689,5577,Undirected,5
689,1974,Undirected,5
689,4308,Undirected,4
4960,3495,Undirected,46
4960,234,Undirected,37
4960,3984,Undirected,35
4960,1646,Undirected,26
4960,1689,Undirected,25
4960,67,Undirected,23
4960,821,Undirected,21
4960,4457,Undirected,15
4960,1017,Undirected,14
4960,3973,Undirected,13
4960,6441,Undirected,13
4960,3808,Undirected,12
4960,1534,Undirected,12
4960,1124,Undirected,11
4960,4706,Undirected,9
4960,3758,Undirected,8
4960,6421,Undirected,8
4960,1738,Undirected,8
4960,4476,Undirected,7
4960,6482,Undirected,7
1141,3109,Undirected,133
1141,2109,Undirected,54
1141,1646,Undirected,22
1141,3071,Undirected,21
1141,184,Undirected,20
1141,606,Undirected,19
1141,4634,Undirected,18
1141,6176,Undirected,16
1141,186,Undirected,15
1141,5863,Undirected,14
1141,3153,Undirected,13
1141,1316,Undirected,12
1141,1555,Undirected,11
1141,2569,Undirected,10
1141,1781,Undirected,9
1141,2911,Undirected,9
1141,3440,Undirected,8
1141,4437,Undirected,8
1141,4077,Undirected,8
1141,5419,Undirected,8
51,2911,Undirected,24
51,1646,Undirected,21
51,540,Undirected,14
51,4726,Undirected,10
51,511,Undirected,8
51,1896,Undirected,8
51,5812,Undirected,7
51,5323,Undirected,4
51,2191,Undirected,3
51,4605,Undirected,3
51,2242,Undirected,2
51,529,Undirected,2
51,5512,Undirected,2
51,1757,Undirected,2
51,34,Undirected,2
51,5756,Undirected,2
51,3649,Undirected,2
51,213,Undirected,2
51,3612,Undirected,2
51,5171,Undirected,2
5638,5550,Undirected,67
5638,5896,Undirected,29
5638,1646,Undirected,16
5638,2766,Undirected,13
5638,1138,Undirected,12
